timestamp,machine_id,category,issue_description,severity,location
2025-01-20 00:17:08.642476,M290,Machinery & Equipment,Injection molding machine nozzle clog,High,Murphyborough
2025-02-26 11:33:05.761441,M753,Machinery & Equipment,CNC machine overheating,High,Randychester
2025-01-13 02:27:34.342501,M633,Sensor & Electrical,Battery pack overheating in EV assembly,High,North Robertmouth
2025-02-02 11:52:02.155448,M604,Parts & Supply,Delayed shipment of brake pads,Low,Travismouth
2025-02-15 08:52:36.891085,M718,Assembly Line,Robotic arm calibration failure,High,South Aprilmouth
2025-02-20 00:09:26.362752,M492,Sensor & Electrical,Faulty RFID scanner at inventory check,High,Lake Joseph
2025-02-19 05:12:25.734759,M240,Sensor & Electrical,Electrical surge causing sensor malfunctions,High,New Dalton
2025-02-26 14:56:35.503478,M813,Assembly Line,Spot welding machine misfire,Low,Port Amanda
2025-01-25 04:56:47.152155,M656,Sensor & Electrical,Faulty RFID scanner at inventory check,Low,Thomasview
2025-01-16 06:55:25.691891,M155,Logistics & Storage,Barcode scanner failure in warehouse,High,East Alejandro
2025-02-28 14:32:31.461587,M239,Logistics & Storage,Barcode scanner failure in warehouse,High,West Megan
2025-03-05 09:33:43.921776,M831,Assembly Line,Spot welding machine misfire,Medium,Jamesport
2025-02-10 08:45:53.124189,M841,Logistics & Storage,Inventory mismatch in parts database,Low,Hurstbury
2025-02-19 19:06:39.840129,M466,Parts & Supply,Defective windshield batch,Medium,Mossside
2025-01-24 00:13:46.868566,M250,Parts & Supply,Incorrect tire specifications received,Low,New Aaronshire
2025-01-15 11:32:19.972505,M415,Logistics & Storage,Barcode scanner failure in warehouse,High,North Joshuastad
2025-02-17 07:56:21.203129,M515,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,Timothybury
2025-02-03 21:50:08.004899,M165,Assembly Line,Robotic arm calibration failure,High,New Walter
2025-01-27 10:13:26.642732,M881,Assembly Line,Spot welding machine misfire,Medium,Paulborough
2025-01-13 02:16:50.395176,M470,Parts & Supply,Engine block casting defects,High,Walterbury
2025-02-22 04:09:08.770749,M482,Assembly Line,Conveyor belt misalignment,Medium,Santanatown
2025-02-09 05:17:45.365629,M265,Sensor & Electrical,Faulty RFID scanner at inventory check,Low,South Timothyshire
2025-02-23 18:44:24.191873,M720,Machinery & Equipment,Hydraulic press pressure loss,Medium,Joelshire
2025-01-27 08:04:10.565001,M400,Assembly Line,Conveyor belt misalignment,Medium,Lake Donaldland
2025-01-29 12:41:33.567467,M705,Parts & Supply,Incorrect tire specifications received,Low,New Mathew
2025-01-24 18:03:13.050122,M727,Logistics & Storage,Tire storage humidity too high,Medium,Fryehaven
2025-02-14 13:37:56.092556,M465,Machinery & Equipment,CNC machine overheating,High,Kingside
2025-01-01 20:45:10.913798,M343,Sensor & Electrical,Electrical surge causing sensor malfunctions,High,Palmerberg
2025-02-10 12:00:55.361506,M552,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,Sarahberg
2025-01-30 03:53:52.107649,M981,Machinery & Equipment,CNC machine overheating,High,New Cody
2025-01-25 22:32:52.854902,M174,Machinery & Equipment,Hydraulic press pressure loss,Medium,South Christianbury
2025-01-20 18:21:35.314506,M995,Assembly Line,Robotic arm calibration failure,High,Jonesborough
2025-03-06 13:13:58.750932,M351,Assembly Line,Spot welding machine misfire,High,South Michaelfort
2025-01-11 11:30:05.896655,M233,Parts & Supply,Engine block casting defects,Low,Lake Monique
2025-02-17 01:54:25.763487,M570,Assembly Line,Paint sprayer clogging,Medium,South Caroline
2025-03-06 04:15:42.364071,M613,Machinery & Equipment,Injection molding machine nozzle clog,Medium,Kimberlyberg
2025-01-29 02:01:57.917778,M354,Sensor & Electrical,Faulty RFID scanner at inventory check,Low,Donaldsonfurt
2025-01-30 08:52:16.261625,M315,Sensor & Electrical,PLC (Programmable Logic Controller) failure,High,Perezmouth
2025-02-01 19:37:49.764820,M174,Machinery & Equipment,CNC machine overheating,High,North Davidstad
2025-02-09 00:27:44.397567,M931,Machinery & Equipment,CNC machine overheating,High,Christopherville
2025-02-09 11:35:16.584297,M714,Assembly Line,Paint sprayer clogging,Medium,New Steven
2025-02-20 05:26:20.644866,M548,Parts & Supply,Engine block casting defects,High,Lake Jessica
2025-02-04 12:53:16.721493,M638,Machinery & Equipment,Injection molding machine nozzle clog,High,Katherinemouth
2025-01-29 16:55:03.430703,M183,Machinery & Equipment,Hydraulic press pressure loss,Low,North Luke
2025-02-17 12:38:14.726059,M155,Logistics & Storage,Tire storage humidity too high,Medium,Owensfort
